TYPE=CAN-TRACE-ASCII V=2,0 MANREV=5,162 MANID=128 TTS=0,000001 COLS=9 RECCNT=5500 NEXTREC=1033 DATAFORMAT=I386 TRACETYPE=NET DISPLAYCFG=7 RINGBUFIDX=39 FIRSTREC=39 LASTREC=1032 
Recordindex	Network[Index]	Time	Type	Node	Network-Id	Frame-data	Parameter-Id	Description	Value
34	PLK[0]	4034,419758	MAN_INF	12	1006012	BAFF0000000000000000 00 00	65466	POWERLINK_MUX_STATION	0
35	PLK[0]	4034,419761	MAN_INF	10	1006010	92FF6400000000000000 00 00	65426	CommunicationState	100
36	PLK[0]	4034,419762	MAN_INF	11	1006011	92FF6400000000000000 00 00	65426	CommunicationState	100
37	PLK[0]	4034,419762	MAN_INF	12	1006012	92FF6400000000000000 00 00	65426	CommunicationState	100
38	NCMAN	4034,422057	MAN_INF	0	6000	CBFF2700000000000000 00 00	65483	NET_TRACE_RING_STARTIDX	39
39	PLK[0]	4034,434070	MAN_INF	10	1006010	B9FF0500000000000000 00 00	65465	POWERLINK_PLSTATE	0x0005
40	PLK[0]	4034,434074	MAN_INF	10	1006010	B0FFB121000000000000 00 00	65456	POWERLINK_PRODUCT_CODE	8625
41	PLK[0]	4034,434080	MAN_INF	11	1006011	B9FF0500000000000000 00 00	65465	POWERLINK_PLSTATE	0x0005
42	PLK[0]	4034,434082	MAN_INF	11	1006011	B0FFB121000000000000 00 00	65456	POWERLINK_PRODUCT_CODE	8625
43	PLK[0]	4034,434086	MAN_INF	12	1006012	B9FF0500000000000000 00 00	65465	POWERLINK_PLSTATE	0x0005
44	PLK[0]	4034,434088	MAN_INF	12	1006012	B0FFB121000000000000 00 00	65456	POWERLINK_PRODUCT_CODE	8625
45	PLK[0]	4034,464085	MAN_INF	10	1006010	1C042000000008450001 00 00	1052	BOOT_STATE	32
46	PLK[0]	4034,464090	MAN_INF	11	1006011	1C0420000000544A0001 00 00	1052	BOOT_STATE	32
47	PLK[0]	4034,464093	MAN_INF	12	1006012	1C0420000000544A0001 00 00	1052	BOOT_STATE	32
48	PLK[0]	4034,470103	WR_REQ	10	1002450	1A040000000000000102 00 00	1050	CMD_SW_RESET	
49	PLK[0]	4034,470121	WR_REQ	11	1002454	1A040000000000000102 00 00	1050	CMD_SW_RESET	
50	PLK[0]	4034,470137	WR_REQ	12	1002458	1A040000000000000102 00 00	1050	CMD_SW_RESET	
51	PLK[0]	4034,476094	WR_RSP	10	1002451	1A042000000008450102 00 00	1050	CMD_SW_RESET
52	PLK[0]	4034,482083	WR_RSP	11	1002455	1A0420000000544A0102 00 00	1050	CMD_SW_RESET
53	PLK[0]	4034,482090	WR_RSP	12	1002459	1A0420000000544A0102 00 00	1050	CMD_SW_RESET
54	PLK[0]	4034,974101	MAN_INF	10	1006010	B9FF0600000000000000 00 00	65465	POWERLINK_PLSTATE	0x0006
55	PLK[0]	4034,974110	MAN_INF	11	1006011	B9FF0600000000000000 00 00	65465	POWERLINK_PLSTATE	0x0006
56	PLK[0]	4034,974116	MAN_INF	12	1006012	B9FF0600000000000000 00 00	65465	POWERLINK_PLSTATE	0x0006
57	PLK[0]	4040,020088	MAN_INF	10	1006010	B9FF0200000000000000 00 00	65465	POWERLINK_PLSTATE	0x0002
58	PLK[0]	4040,032073	MAN_INF	10	1006010	B9FF0300000000000000 00 00	65465	POWERLINK_PLSTATE	0x0003
59	PLK[0]	4040,086064	MAN_INF	11	1006011	B9FF0200000000000000 00 00	65465	POWERLINK_PLSTATE	0x0002
60	PLK[0]	4040,086069	MAN_INF	12	1006012	B9FF0200000000000000 00 00	65465	POWERLINK_PLSTATE	0x0002
61	PLK[0]	4040,098071	MAN_INF	11	1006011	B9FF0300000000000000 00 00	65465	POWERLINK_PLSTATE	0x0003
62	PLK[0]	4040,098076	MAN_INF	12	1006012	B9FF0300000000000000 00 00	65465	POWERLINK_PLSTATE	0x0003
63	PLK[0]	4040,248073	MAN_INF	10	1006010	B9FF0100000000000000 00 00	65465	POWERLINK_PLSTATE	0x0001
64	PLK[0]	4040,308077	MAN_INF	11	1006011	B9FF0100000000000000 00 00	65465	POWERLINK_PLSTATE	0x0001
65	PLK[0]	4042,282081	MAN_INF	12	1006012	B9FF0100000000000000 00 00	65465	POWERLINK_PLSTATE	0x0001
66	PLK[0]	4042,366061	MAN_INF	10	1006010	B9FF0200000000000000 00 00	65465	POWERLINK_PLSTATE	0x0002
67	PLK[0]	4042,366068	MAN_INF	11	1006011	B9FF0200000000000000 00 00	65465	POWERLINK_PLSTATE	0x0002
68	PLK[0]	4042,366073	MAN_INF	12	1006012	B9FF0200000000000000 00 00	65465	POWERLINK_PLSTATE	0x0002
69	PLK[0]	4042,378068	MAN_INF	10	1006010	B9FF0400000000000000 00 00	65465	POWERLINK_PLSTATE	0x0004
70	PLK[0]	4042,378077	MAN_INF	11	1006011	B9FF0400000000000000 00 00	65465	POWERLINK_PLSTATE	0x0004
71	PLK[0]	4042,378083	MAN_INF	12	1006012	B9FF0400000000000000 00 00	65465	POWERLINK_PLSTATE	0x0004
72	PLK[0]	4042,408061	MAN_INF	10	1006010	1C041000000000000004 00 00	1052	BOOT_STATE	16
73	PLK[0]	4042,408066	MAN_INF	11	1006011	1C041000000000000004 00 00	1052	BOOT_STATE	16
74	PLK[0]	4042,408069	MAN_INF	12	1006012	1C041000000000000004 00 00	1052	BOOT_STATE	16
75	PLK[0]	4042,426064	MAN_INF	10	1006010	1E040000000000000005 00 00	1054	STAT_BURN_SYSMOD	0
76	PLK[0]	4042,426065	MAN_INF	10	1006010	92FFC800000000000000 00 00	65426	CommunicationState	200
77	PLK[0]	4042,432058	MAN_INF	11	1006011	1E040000000000000005 00 00	1054	STAT_BURN_SYSMOD	0
78	PLK[0]	4042,432059	MAN_INF	11	1006011	92FFC800000000000000 00 00	65426	CommunicationState	200
79	PLK[0]	4042,432061	MAN_INF	12	1006012	1E040000000000000005 00 00	1054	STAT_BURN_SYSMOD	0
80	PLK[0]	4042,432062	MAN_INF	12	1006012	92FFC800000000000000 00 00	65426	CommunicationState	200
81	PLK[0]	4042,444082	RD_REQ	10	1002452	9E050000000000000006 00 00	1438	ACOPOS_IDENT_DATA
82	PLK[0]	4042,450101	RD_RSP	10	1002453	9E051C00000000000006 00 00	1438	ACOPOS_IDENT_DATA	28
83	PLK[0]	4042,450127	RD_REQ	11	1002456	9E050000000000000006 00 00	1438	ACOPOS_IDENT_DATA
84	PLK[0]	4042,450144	RD_REQ	12	1002460	9E050000000000000006 00 00	1438	ACOPOS_IDENT_DATA
85	PLK[0]	4042,456111	RD_RSP	11	1002457	9E051C00000000000006 00 00	1438	ACOPOS_IDENT_DATA	28
86	PLK[0]	4042,462128	RD_RSP	12	1002461	9E051C00000000000006 00 00	1438	ACOPOS_IDENT_DATA	28
87	PLK[0]	4042,474058	MAN_INF	10	1006010	C3FF0600000000000000 00 00	65475	ACOPOS_ID	6
88	PLK[0]	4042,474058	MAN_INF	10	1006010	C2FF0000000000000000 00 00	65474	ACOPOS_ID_NR	0
89	PLK[0]	4042,474059	MAN_INF	10	1006010	EA0308450B0000000000 00 00	1002	BRMOD_NCSYS	738568
90	PLK[0]	4042,474060	MAN_INF	10	1006010	F2036251000000000000 00 00	1010	BRMOD_VERSION	0x5162
91	PLK[0]	4042,474060	MAN_INF	10	1006010	F303F356490880000000 00 00	1011	BRMOD_DATE_TIME	9:08:17,00 22,10,2021
92	PLK[0]	4042,474061	MAN_INF	10	1006010	E903B8290A0000000000 00 00	1001	BRMOD_BSL	666040
93	PLK[0]	4042,474061	MAN_INF	10	1006010	F2037023000000000000 00 00	1010	BRMOD_VERSION	0x2370
94	PLK[0]	4042,474062	MAN_INF	10	1006010	F303E17075E400000000 00 00	1011	BRMOD_DATE_TIME	14:47:08,00 16,11,2012
95	PLK[0]	4042,480072	MAN_INF	11	1006011	C3FF0500000000000000 00 00	65475	ACOPOS_ID	5
96	PLK[0]	4042,480072	MAN_INF	11	1006011	C2FF0100000000000000 00 00	65474	ACOPOS_ID_NR	1
97	PLK[0]	4042,480073	MAN_INF	11	1006011	EA03544A0D0000000000 00 00	1002	BRMOD_NCSYS	870996
98	PLK[0]	4042,480074	MAN_INF	11	1006011	F2036251000000000000 00 00	1010	BRMOD_VERSION	0x5162
99	PLK[0]	4042,480074	MAN_INF	11	1006011	F303F356490500000000 00 00	1011	BRMOD_DATE_TIME	9:08:10,00 22,10,2021
100	PLK[0]	4042,480075	MAN_INF	11	1006011	E903B4BF0A0000000000 00 00	1001	BRMOD_BSL	704436
101	PLK[0]	4042,480075	MAN_INF	11	1006011	F2037023000000000000 00 00	1010	BRMOD_VERSION	0x2370
102	PLK[0]	4042,480076	MAN_INF	11	1006011	F303E17075DC80000000 00 00	1011	BRMOD_DATE_TIME	14:46:57,00 16,11,2012
103	PLK[0]	4042,492082	WR_REQ	10	1002450	1B041800000000000108 00 00	1051	CMD_BOOT_STATE	24
104	PLK[0]	4042,492090	MAN_INF	12	1006012	C3FF0500000000000000 00 00	65475	ACOPOS_ID	5
105	PLK[0]	4042,492090	MAN_INF	12	1006012	C2FF0100000000000000 00 00	65474	ACOPOS_ID_NR	1
106	PLK[0]	4042,492091	MAN_INF	12	1006012	EA03544A0D0000000000 00 00	1002	BRMOD_NCSYS	870996
107	PLK[0]	4042,492091	MAN_INF	12	1006012	F2036251000000000000 00 00	1010	BRMOD_VERSION	0x5162
108	PLK[0]	4042,492092	MAN_INF	12	1006012	F303F356490500000000 00 00	1011	BRMOD_DATE_TIME	9:08:10,00 22,10,2021
109	PLK[0]	4042,492092	MAN_INF	12	1006012	E903B4BF0A0000000000 00 00	1001	BRMOD_BSL	704436
110	PLK[0]	4042,492093	MAN_INF	12	1006012	F2037023000000000000 00 00	1010	BRMOD_VERSION	0x2370
111	PLK[0]	4042,492093	MAN_INF	12	1006012	F303E17075DC80000000 00 00	1011	BRMOD_DATE_TIME	14:46:57,00 16,11,2012
112	PLK[0]	4042,498104	WR_RSP	10	1002451	1B040600000008450108 00 00	1051	CMD_BOOT_STATE
113	PLK[0]	4042,498131	WR_REQ	11	1002454	1B041800000000000108 00 00	1051	CMD_BOOT_STATE	24
114	PLK[0]	4042,504059	MAN_INF	10	1006010	B9FF0500000000000000 00 00	65465	POWERLINK_PLSTATE	0x0005
115	PLK[0]	4042,510116	WR_RSP	11	1002455	1B0405010000544A0108 00 00	1051	CMD_BOOT_STATE
116	PLK[0]	4042,510134	WR_REQ	12	1002458	1B041800000000000108 00 00	1051	CMD_BOOT_STATE	24
117	PLK[0]	4042,516068	MAN_INF	11	1006011	B9FF0500000000000000 00 00	65465	POWERLINK_PLSTATE	0x0005
118	PLK[0]	4042,522106	WR_RSP	12	1002459	1B0405010000544A0108 00 00	1051	CMD_BOOT_STATE
119	PLK[0]	4042,528057	MAN_INF	10	1006010	1C042000000008450009 00 00	1052	BOOT_STATE	32
120	PLK[0]	4042,528058	MAN_INF	10	1006010	92FFF401000000000000 00 00	65426	CommunicationState	500
121	PLK[0]	4042,540098	MAN_INF	11	1006011	1C0420000000544A0009 00 00	1052	BOOT_STATE	32
122	PLK[0]	4042,540100	MAN_INF	11	1006011	92FFF401000000000000 00 00	65426	CommunicationState	500
123	PLK[0]	4042,546090	STATE	10	1000263	B2001400000000000000 00 00	178	STATUS_BITS	00000000 00000000 00000000 00010100
124	PLK[0]	4042,552099	MAN_INF	12	1006012	1C0420000000544A0009 00 00	1052	BOOT_STATE	32
125	PLK[0]	4042,552100	MAN_INF	12	1006012	92FFF401000000000000 00 00	65426	CommunicationState	500
126	PLK[0]	4042,558119	STATE	11	1000264	B2003000000000000000 00 00	178	STATUS_BITS	00000000 00000000 00000000 00110000
127	PLK[0]	4042,576106	STATE	12	1000265	B2007000000000000000 00 00	178	STATUS_BITS	00000000 00000000 00000000 01110000
128	PLK[0]	4042,678121	STATE	11	1000264	B2003400000000000000 00 00	178	STATUS_BITS	00000000 00000000 00000000 00110100
129	PLK[0]	4042,750111	STATE	11	1000264	B2001400000000000000 00 00	178	STATUS_BITS	00000000 00000000 00000000 00010100
130	PLK[0]	4042,882091	STATE	10	1000263	B2000400000000000000 00 00	178	STATUS_BITS	00000000 00000000 00000000 00000100
131	PLK[0]	4042,882101	STATE	11	1000264	B2000400000000000000 00 00	178	STATUS_BITS	00000000 00000000 00000000 00000100
132	PLK[0]	4042,888069	MAN_INF	10	1006010	B9FF0500000000000000 00 00	65465	POWERLINK_PLSTATE	0x0005
133	PLK[0]	4042,888075	MAN_INF	11	1006011	B9FF0500000000000000 00 00	65465	POWERLINK_PLSTATE	0x0005
134	PLK[0]	4042,894062	STATE	10	1000263	B3002000080000000000 00 00	179	STATUS_CYCLIC_BITS	00000000 00001000 00000000 00100000
135	PLK[0]	4042,894068	STATE	11	1000264	B3000000000000000000 00 00	179	STATUS_CYCLIC_BITS	00000000 00000000 00000000 00000000
136	PLK[0]	4042,978103	STATE	11	1000264	B3000000100000000000 00 00	179	STATUS_CYCLIC_BITS	00000000 00010000 00000000 00000000
137	PLK[0]	4042,984065	WR_REQ	11	1001326	72020800000000000101 00 00	626	MA_CYCLE_TIME_FACTOR	8
138	PLK[0]	4042,990103	WR_RSP	11	1001327	72020000000000000101 00 00	626	MA_CYCLE_TIME_FACTOR
139	PLK[0]	4042,990105	WR_REQ	11	1001326	9B04E02E000000000102 03 00	1179	T_STOP_EVENT_BIT	12000
140	PLK[0]	4042,996066	WR_RSP	11	1001327	9B040000000000000102 03 00	1179	T_STOP_EVENT_BIT
141	PLK[0]	4042,996068	WR_REQ	11	1001326	9B04E02E000000000101 03 01	1179	T_STOP_EVENT_BIT	12000
142	PLK[0]	4043,002090	WR_RSP	11	1001327	9B040000000000000101 03 01	1179	T_STOP_EVENT_BIT
143	PLK[0]	4043,008076	WR_REQ	11	1001326	00280000000000000103 00 00	10240	EPROM_ID+0	0
144	PLK[0]	4043,014092	WR_RSP	11	1001327	00280000000000000103 00 00	10240	EPROM_ID+0
145	PLK[0]	4043,014093	RD_REQ	11	1001328	28280000000000000004 00 00	10280	EPROM_PRODUCT_TYPE+0
146	PLK[0]	4043,020092	RD_RSP	11	1001329	28280100000000000004 00 00	10280	EPROM_PRODUCT_TYPE+0	1
147	PLK[0]	4043,020093	RD_REQ	11	1001328	8A040000000000000005 00 00	1162	POWER_STAGE_NO
148	PLK[0]	4043,026091	RD_RSP	11	1001329	8A040200000000000005 00 00	1162	POWER_STAGE_NO	2
149	PLK[0]	4043,026092	RD_REQ	11	1001328	92040000000000000006 00 00	1170	SLOT_NO
150	PLK[0]	4043,032062	RD_RSP	11	1001329	92040200000000000006 00 00	1170	SLOT_NO	2
151	PLK[0]	4043,032064	RD_REQ	11	1001328	18280000000000000007 00 00	10264	EPROM_PRODUCT_CODE+0
152	PLK[0]	4043,038100	RD_RSP	11	1001329	18280D20000000000007 00 00	10264	EPROM_PRODUCT_CODE+0	8205
153	PLK[0]	4043,038102	RD_REQ	11	1001328	20280000000000000008 00 00	10272	EPROM_SERIAL_NO+0
154	PLK[0]	4043,044063	RD_RSP	11	1001329	2028C3CE020000000008 00 00	10272	EPROM_SERIAL_NO+0	184003
155	PLK[0]	4043,044064	RD_REQ	11	1001328	30280000000000000009 00 00	10288	EPROM_HW_REVISION+0
156	PLK[0]	4043,050102	RD_RSP	11	1001329	3028304F020000000009 00 00	10288	EPROM_HW_REVISION+0	0x4F30
157	PLK[0]	4043,050104	RD_REQ	11	1001328	9304000000000000000A 00 00	1171	EPROM_ORDERTEXT
158	PLK[0]	4043,056062	RD_RSP	11	1001329	9304200000000000000A 00 00	1171	EPROM_ORDERTEXT	
159	PLK[0]	4043,056063	RD_REQ	11	1001328	2404000000000000000B 00 00	1060	RD_BLOCK_SEGM
160	PLK[0]	4043,062090	RD_RSP	11	1001329	2404384256493030000B 00 00	1060	RD_BLOCK_SEGM	38 42 56 49 30 30
161	PLK[0]	4043,062092	RD_REQ	11	1001328	2404000000000000000C 00 00	1060	RD_BLOCK_SEGM
162	PLK[0]	4043,068074	RD_RSP	11	1001329	2404353548434430000C 00 00	1060	RD_BLOCK_SEGM	35 35 48 43 44 30
163	PLK[0]	4043,068075	RD_REQ	11	1001328	2404000000000000000D 00 00	1060	RD_BLOCK_SEGM
164	PLK[0]	4043,074094	RD_RSP	11	1001329	24042E3030302D31000D 00 00	1060	RD_BLOCK_SEGM	2E 30 30 30 2D 31
165	PLK[0]	4043,074096	WR_REQ	11	1001326	2604000000000000010E 00 00	1062	CMD_RD_BLOCK_ABORT	
166	PLK[0]	4043,080077	WR_RSP	11	1001327	26042E3030302D31010E 00 00	1062	CMD_RD_BLOCK_ABORT
167	PLK[0]	4043,080085	MAN_INF	11	1006011	C3FF0500000000000000 00 00	65475	ACOPOS_ID	5
168	PLK[0]	4043,080085	MAN_INF	11	1006011	C2FF0100000000000000 00 00	65474	ACOPOS_ID_NR	1
169	PLK[0]	4043,080086	MAN_INF	11	1006011	B8FF0100000000000000 00 00	65464	ACOPOS_TYP	1
170	PLK[0]	4043,080087	MAN_INF	11	1006011	B2FF3832303500000000 00 00	65458	HW_PRODUCT_CODE	8205
171	PLK[0]	4043,080088	MAN_INF	11	1006011	B1FF4F30000000000000 00 00	65457	HW_REVISION	O0
172	PLK[0]	4043,080088	MAN_INF	11	1006011	7EFF3842564930300000 00 00	65406	MODEL_NUMBER	8BVI00
173	PLK[0]	4043,080089	MAN_INF	11	1006011	7EFF3535484344300000 00 00	65406	MODEL_NUMBER	55HCD0
174	PLK[0]	4043,080090	MAN_INF	11	1006011	7EFF2E3030302D310000 00 00	65406	MODEL_NUMBER	,000-1
175	PLK[0]	4043,086096	MAN_INF	11	1006011	B4FF0100000000000000 00 00	65460	ACOPOS_SUB_SLOT	1
176	PLK[0]	4043,086098	WR_REQ	11	1001326	0028020000000000010F 00 00	10240	EPROM_ID+0	2
177	PLK[0]	4043,092066	WR_RSP	11	1001327	00282E3030302D31010F 00 00	10240	EPROM_ID+0
178	PLK[0]	4043,092067	RD_REQ	11	1001328	28280200000000000010 00 00	10280	EPROM_PRODUCT_TYPE+0
179	PLK[0]	4043,098101	RD_RSP	11	1001329	2828780000002D310010 00 00	10280	EPROM_PRODUCT_TYPE+0	120
180	PLK[0]	4043,098102	RD_REQ	11	1001328	40280200000000000011 00 00	10304	EPROM_STAT+0
181	PLK[0]	4043,104065	RD_RSP	11	1001329	4028030000002D310011 00 00	10304	EPROM_STAT+0	3
182	PLK[0]	4043,104067	RD_REQ	11	1001328	18280200000000000012 00 00	10264	EPROM_PRODUCT_CODE+0
183	PLK[0]	4043,110102	RD_RSP	11	1001329	1828BFB000002D310012 00 00	10264	EPROM_PRODUCT_CODE+0	45247
184	PLK[0]	4043,110104	RD_REQ	11	1001328	20280200000000000013 00 00	10272	EPROM_SERIAL_NO+0
185	PLK[0]	4043,116069	RD_RSP	11	1001329	2028C76204002D310013 00 00	10272	EPROM_SERIAL_NO+0	287431
186	PLK[0]	4043,116071	RD_REQ	11	1001328	30280200000000000014 00 00	10288	EPROM_HW_REVISION+0
187	PLK[0]	4043,122091	RD_RSP	11	1001329	3028304304002D310014 00 00	10288	EPROM_HW_REVISION+0	0x4330
188	PLK[0]	4043,122092	RD_REQ	11	1001328	93040200000000000015 00 00	1171	EPROM_ORDERTEXT
189	PLK[0]	4043,128075	RD_RSP	11	1001329	9304200000002D310015 00 00	1171	EPROM_ORDERTEXT	
190	PLK[0]	4043,128076	RD_REQ	11	1001328	24040200000000000016 00 00	1060	RD_BLOCK_SEGM
191	PLK[0]	4043,134095	RD_RSP	11	1001329	24043842414330310016 00 00	1060	RD_BLOCK_SEGM	38 42 41 43 30 31
192	PLK[0]	4043,134097	RD_REQ	11	1001328	24040200000000000017 00 00	1060	RD_BLOCK_SEGM
193	PLK[0]	4043,140074	RD_RSP	11	1001329	240432302E3030310017 00 00	1060	RD_BLOCK_SEGM	32 30 2E 30 30 31
194	PLK[0]	4043,140076	RD_REQ	11	1001328	24040200000000000018 00 00	1060	RD_BLOCK_SEGM
195	PLK[0]	4043,146089	STATE	10	1000263	B3002000180000000000 00 00	179	STATUS_CYCLIC_BITS	00000000 00011000 00000000 00100000
196	PLK[0]	4043,146096	RD_RSP	11	1001329	24042D3200FFFFFF0018 00 00	1060	RD_BLOCK_SEGM	2D 32 00 FF FF FF
197	PLK[0]	4043,146098	WR_REQ	11	1001326	26040200000000000119 00 00	1062	CMD_RD_BLOCK_ABORT	
198	PLK[0]	4043,152053	WR_REQ	10	1001322	72020800000000000101 00 00	626	MA_CYCLE_TIME_FACTOR	8
199	PLK[0]	4043,152059	WR_RSP	11	1001327	26042D3200FFFFFF0119 00 00	1062	CMD_RD_BLOCK_ABORT
200	PLK[0]	4043,152069	MAN_INF	11	1006011	B2FF4230424600000000 00 00	65458	HW_PRODUCT_CODE	B0BF
201	PLK[0]	4043,152070	MAN_INF	11	1006011	B1FF4330000000000000 00 00	65457	HW_REVISION	C0
202	PLK[0]	4043,152070	MAN_INF	11	1006011	7EFF3842414330310000 00 00	65406	MODEL_NUMBER	8BAC01
203	PLK[0]	4043,152071	MAN_INF	11	1006011	7EFF32302E3030310000 00 00	65406	MODEL_NUMBER	20,001
204	PLK[0]	4043,152072	MAN_INF	11	1006011	7EFF2D3200FFFFFF0000 00 00	65406	MODEL_NUMBER	-2
205	PLK[0]	4043,158091	WR_RSP	10	1001323	72020000000000000101 00 00	626	MA_CYCLE_TIME_FACTOR
206	PLK[0]	4043,158092	WR_REQ	10	1001322	9B04E02E000000000102 03 00	1179	T_STOP_EVENT_BIT	12000
207	PLK[0]	4043,158099	MAN_INF	11	1006011	B4FF0200000000000000 00 00	65460	ACOPOS_SUB_SLOT	2
208	PLK[0]	4043,158100	WR_REQ	11	1001326	0028030000000000011A 00 00	10240	EPROM_ID+0	3
209	PLK[0]	4043,164048	WR_RSP	10	1001323	9B040000000000000102 03 00	1179	T_STOP_EVENT_BIT
210	PLK[0]	4043,164054	WR_RSP	11	1001327	00282D3200FFFFFF011A 00 00	10240	EPROM_ID+0
211	PLK[0]	4043,164055	RD_REQ	11	1001328	2828030000000000001B 00 00	10280	EPROM_PRODUCT_TYPE+0
212	PLK[0]	4043,170094	WR_REQ	10	1001322	00280000000000000103 00 00	10240	EPROM_ID+0	0
213	PLK[0]	4043,170099	RD_RSP	11	1001329	282878000000FFFF001B 00 00	10280	EPROM_PRODUCT_TYPE+0	120
214	PLK[0]	4043,170100	RD_REQ	11	1001328	4028030000000000001C 00 00	10304	EPROM_STAT+0
